Brand Name	Discounted Price	Original Price	Price Change
ROKSANDA	"HKD 7,960"	"HKD 19,900"	60% off
CHLOÉ	"HKD 11,295"	"HKD 18,825"	40% off
YVES SALOMON	"HKD 16,482"	"HKD 32,964"	50% off
SEE BY CHLOÉ	"HKD 2,329"	"HKD 4,480"	48% off
STELLA JEAN	"HKD 3,145"	"HKD 7,490"	58% off
M MISSONI	"HKD 2,240"	"HKD 4,480"	50% off
DKNY	"HKD 3,020"	"HKD 6,040"	50% off
STELLA JEAN	"HKD 3,018"	"HKD 6,860"	56% off
YVES SALOMON	"HKD 8,064"	"HKD 16,129"	50% off
ROSETTA GETTY	"HKD 5,734"	"HKD 15,090"	62% off
HAIDER ACKERMANN	"HKD 7,364"	"HKD 18,408"	60% off
DKNY	"HKD 2,616"	"HKD 5,340"	51% off
SEE BY CHLOÉ	"HKD 1,947"	"HKD 3,895"	50% off
ETRO	"HKD 8,545"	"HKD 24,417"	65% off
MSGM	"HKD 1,851"	"HKD 4,115"	55% off
GOAT	"HKD 2,738"	"HKD 5,473"	50% off
JIL SANDER	"HKD 4,608"	"HKD 11,522"	60% off
MSGM	"HKD 3,298"	"HKD 8,045"	59% off
TEMPERLEY LONDON	"HKD 3,634"	"HKD 9,084"	60% off
ZIMMERMANN	"HKD 4,394"	"HKD 8,786"	50% off
JUNYA WATANABE COMME DES GARÇONS	"HKD 8,874"	"HKD 17,749"	50% off
BELSTAFF	"HKD 3,578"	"HKD 9,413"	62% off
TOD'S	"HKD 8,384"	"HKD 16,766"	50% off
SEE BY CHLOÉ	"HKD 1,656"	"HKD 3,525"	53% off
MARNI	"HKD 4,358"	"HKD 12,106"	64% off
DIANE VON FURSTENBERG	"HKD 2,069"	"HKD 4,139"	50% off
LOVE MOSCHINO	"HKD 1,808"	"HKD 3,612"	50% off
NORMA KAMALI	"HKD 2,402"	"HKD 5,720"	58% off
PASKAL	"HKD 2,828"	"HKD 9,428"	70% off
PRINGLE OF SCOTLAND	"HKD 4,218"	"HKD 14,054"	70% off
ALICE + OLIVIA	"HKD 1,969"	"HKD 3,939"	50% off
EMILIO PUCCI	"HKD 7,434"	"HKD 19,562"	62% off
SANDRO PARIS	"HKD 1,970"	"HKD 3,940"	50% off
JOIE	"HKD 1,660"	"HKD 3,691"	55% off
ISSA	"HKD 2,498"	"HKD 6,758"	63% off
ALTUZARRA	"HKD 8,406"	"HKD 18,680"	55% off
RAG & BONE	"HKD 2,488"	"HKD 4,975"	50% off
STELLA MCCARTNEY	"HKD 4,311"	"HKD 9,580"	55% off
DUVETICA	"HKD 1,828"	"HKD 3,652"	50% off
JOIE	"HKD 2,259"	"HKD 4,519"	50% off
BY MALENE BIRGER	"HKD 2,079"	"HKD 4,726"	56% off
RAG & BONE	"HKD 2,052"	"HKD 4,104"	50% off
SANDRO PARIS	"HKD 2,052"	"HKD 4,104"	50% off
COACH	"HKD 3,129"	"HKD 5,690"	45% off
LOVE MOSCHINO	"HKD 1,328"	"HKD 2,657"	50% off
DUVETICA	"HKD 1,230"	"HKD 2,736"	55% off
CHLOÉ	"HKD 6,134"	"HKD 12,268"	50% off
