University_name,Ranking,Country,Source
University of Salerno,"#419
Tie",Italy,USNEWS
Dortmund University of Technology,#423,Germany,USNEWS
Istanbul Technical University,"#424
Tie",Turkey,USNEWS
Novosibirsk State University,"#424
Tie",Russia,USNEWS
St George's University of London,"#424
Tie",United Kingdom,USNEWS
Flinders University,"#427
Tie",Australia,USNEWS
Quaid I Azam University,"#427
Tie",Pakistan,USNEWS
Shandong University,"#427
Tie",China,USNEWS
Waseda University,"#427
Tie",Japan,USNEWS
University of the Andes Colombia,#431,Colombia,USNEWS
University of Minho,#432,Portugal,USNEWS
University of Tromsø,#433,Norway,USNEWS
Auckland University of Technology,"#434
Tie",New Zealand,USNEWS
Cairo University,"#434
Tie",Egypt,USNEWS
Eotvos Lorand University,"#434
Tie",Hungary,USNEWS
George Mason University,"#434
Tie",United States,USNEWS
Hanyang University,"#434
Tie",South Korea,USNEWS
Universidad Tecnica Federico Santa Maria,"#434
Tie",Chile,USNEWS
University of Strathclyde,"#434
Tie",United Kingdom,USNEWS
University of Pretoria,"#441
Tie",South Africa,USNEWS
University of Surrey,"#441
Tie",United Kingdom,USNEWS
Rush University,#443,United States,USNEWS
Brunel University,"#444
Tie",United Kingdom,USNEWS
Dalian University of Technology,"#444
Tie",China,USNEWS
London Business School,"#444
Tie",United Kingdom,USNEWS
Université de Rennes 1,"#444
Tie",France,USNEWS
University of Navarra,"#444
Tie",Spain,USNEWS
University of Wisconsin--Milwaukee,"#444
Tie",United States,USNEWS
Texas Tech University,#450,United States,USNEWS
Singapore University of Technology & Design,"#451
Tie",Singapore,USNEWS
University College Cork,"#451
Tie",Ireland,USNEWS
University of Catania,"#451
Tie",Italy,USNEWS
East China Normal University,"#454
Tie",China,USNEWS
Florida Institute of Technology,"#454
Tie",United States,USNEWS
Islamic Azad University,"#454
Tie",Iran,USNEWS
University of Cyprus,"#454
Tie",Cyprus,USNEWS
University of Santiago of Compostela,"#454
Tie",Spain,USNEWS
Federal University of Rio Grande do Sul,"#459
Tie",Brazil,USNEWS
Philipps University of Marburg,"#459
Tie",Germany,USNEWS
Politecnico di Bari,"#459
Tie",Italy,USNEWS
UNESP - Universidade Estadual Paulista,"#459
Tie",Brazil,USNEWS
University of Regensburg,"#459
Tie",Germany,USNEWS
University of Texas--Arlington,"#459
Tie",United States,USNEWS
Czech Technical University in Prague,"#465
Tie",Czech Republic,USNEWS
Federal University of Minas Gerais,"#465
Tie",Brazil,USNEWS
Roma Tre University,"#465
Tie",Italy,USNEWS
University of Wuppertal,#468,Germany,USNEWS
Sichuan University,"#469
Tie",China,USNEWS
Tulane University,"#469
Tie",United States,USNEWS
University of Guelph,"#469
Tie",Canada,USNEWS
Bielefeld University,"#472
Tie",Germany,USNEWS
California State University--Fresno,"#472
Tie",United States,USNEWS
China Agricultural University,"#472
Tie",China,USNEWS
Tilburg University,"#472
Tie",Netherlands,USNEWS
University of Fribourg,"#472
Tie",Switzerland,USNEWS
Central China Normal University,"#477
Tie",China,USNEWS
Georgia State University,"#477
Tie",United States,USNEWS
Southern Methodist University,"#477
Tie",United States,USNEWS
University of Central Florida,"#477
Tie",United States,USNEWS
University of Potsdam,"#477
Tie",Germany,USNEWS
University of Vermont,"#477
Tie",United States,USNEWS
Carleton University,"#483
Tie",Canada,USNEWS
Swansea University,"#483
Tie",United Kingdom,USNEWS
Beijing Institute of Technology,"#485
Tie",China,USNEWS
Saint Petersburg State Polytechnic University,"#485
Tie",Russia,USNEWS
Versailles Saint-Quentin-en-Yvelines University (UVSQ),"#485
Tie",France,USNEWS
Victoria University,"#485
Tie",Australia,USNEWS
Polytechnic University of Turin,"#489
Tie",Italy,USNEWS
University of Jyväskylä,"#489
Tie",Finland,USNEWS
University of Mons,"#489
Tie",Belgium,USNEWS
University of Udine,"#489
Tie",Italy,USNEWS
Liverpool John Moores University (LJMU),"#493
Tie",United Kingdom,USNEWS
Oklahoma State University,"#493
Tie",United States,USNEWS
AgroParisTech,"#495
Tie",France,USNEWS
University of Konstanz,"#495
Tie",Germany,USNEWS
College of William and Mary,"#497
Tie",United States,USNEWS
Darmstadt University of Technology,"#497
Tie",Germany,USNEWS
Jilin University,"#497
Tie",China,USNEWS
Polytechnic University of Catalonia,"#497
Tie",Spain,USNEWS
University of Split,"#497
Tie",Croatia,USNEWS
Catholic University of Sacred Heart,#502,Italy,USNEWS
Colorado School of Mines,"#503
Tie",United States,USNEWS
Parthenope University Naples,"#503
Tie",Italy,USNEWS
University of Oviedo,"#503
Tie",Spain,USNEWS
University of Texas--San Antonio,"#503
Tie",United States,USNEWS
University of Electronic Science and Technology of China,#507,China,USNEWS
Polytechnic University of Valencia,#508,Spain,USNEWS
Tomsk State University,"#509
Tie",Russia,USNEWS
Universitat Siegen,"#509
Tie",Germany,USNEWS
University of Rovira i Virgili,"#509
Tie",Spain,USNEWS
University of Stuttgart,"#509
Tie",Germany,USNEWS
Indian Institute of Technology Bombay,"#513
Tie",India,USNEWS
University of Calabria,"#513
Tie",Italy,USNEWS
Victoria University of Wellington,#515,New Zealand,USNEWS
Keio University,"#516
Tie",Japan,USNEWS
Universiti Teknologi Malaysia,"#516
Tie",Malaysia,USNEWS
University of Plymouth,"#516
Tie",United Kingdom,USNEWS
Palacky University Olomouc,"#519
Tie",Czech Republic,USNEWS
Rensselaer Polytechnic Institute,"#519
Tie",United States,USNEWS
West University of Timisoara,"#519
Tie",Romania,USNEWS
Chulalongkorn University,"#522
Tie",Thailand,USNEWS
Mahidol University,"#522
Tie",Thailand,USNEWS
Massey University,"#522
Tie",New Zealand,USNEWS
